month_year,county,liters_sold
2019-01-01,Dubuque,52307.70999999999
2019-02-01,Dubuque,54642.92000000001
2019-03-01,Dubuque,48838.520000000026
2019-04-01,Dubuque,60753.439999999966
2019-05-01,Dubuque,65396.85
2019-06-01,Dubuque,53867.99999999999
2019-07-01,Dubuque,64107.23999999998
2019-08-01,Dubuque,51340.09999999997
2019-09-01,Dubuque,52827.249999999985
2019-10-01,Dubuque,51387.77999999997
2019-11-01,Dubuque,65248.32000000001
2019-12-01,Dubuque,60397.52999999997
2020-01-01,Dubuque,45375.250000000015
2020-02-01,Dubuque,48759.79999999998
2020-03-01,Dubuque,59034.67999999999
2020-04-01,Dubuque,56113.21
2020-05-01,Dubuque,56950.419999999984
2020-06-01,Dubuque,64395.39999999999
2020-07-01,Dubuque,64804.18999999998
2020-08-01,Dubuque,68985.49999999994
2020-09-01,Dubuque,65636.73999999998
2020-10-01,Dubuque,61952.20999999998
2020-11-01,Dubuque,64603.45999999997
2020-12-01,Dubuque,59908.520000000004
2021-01-01,Dubuque,58666.34999999998
2021-02-01,Dubuque,54764.55000000001
2021-03-01,Dubuque,60201.98999999998
2021-04-01,Dubuque,74297.02
2021-05-01,Dubuque,63049.210000000014
2021-06-01,Dubuque,60523.06999999999
2021-07-01,Dubuque,59197.07000000002
2021-08-01,Dubuque,67996.19000000002
2021-09-01,Dubuque,57252.489999999976
2021-10-01,Dubuque,56895.87000000002
2021-11-01,Dubuque,69476.48000000005
2021-12-01,Dubuque,76923.23999999998
2022-01-01,Dubuque,51637.25999999998
2022-02-01,Dubuque,46195.49000000002
2022-03-01,Dubuque,46858.709999999985
2022-04-01,Dubuque,67127.40999999997
2022-05-01,Dubuque,60521.829999999994
2022-06-01,Dubuque,55217.71000000001
2022-07-01,Dubuque,61465.889999999985
2022-08-01,Dubuque,65950.16999999998
2022-09-01,Dubuque,61380.32999999999
2022-10-01,Dubuque,67241.75
2022-11-01,Dubuque,53807.35999999999
2022-12-01,Dubuque,68674.61000000002
2023-01-01,Dubuque,51781.40999999998
2023-02-01,Dubuque,51762.78999999997
2023-03-01,Dubuque,63916.09999999997
2023-04-01,Dubuque,53348.80999999998
2023-05-01,Dubuque,63556.659999999974
2023-06-01,Dubuque,62971.23999999999
2023-07-01,Dubuque,51454.81
2023-08-01,Dubuque,56819.39999999997
2023-09-01,Dubuque,64056.65
2023-10-01,Dubuque,54783.789999999964
2023-11-01,Dubuque,62727.570000000014
2023-12-01,Dubuque,62388.109999999964
2018-01-01,Johnson,92307.21
2018-02-01,Johnson,87991.18000000002
2018-03-01,Johnson,77454.34
2018-04-01,Johnson,101305.59999999992
2018-05-01,Johnson,104304.77999999998
2018-06-01,Johnson,100125.62000000004
2018-07-01,Johnson,104622.23999999996
2018-08-01,Johnson,119714.97000000004
2018-09-01,Johnson,96560.29000000007
2018-10-01,Johnson,115489.02000000002
2018-11-01,Johnson,93442.84
2018-12-01,Johnson,135270.47
2019-01-01,Johnson,88059.40000000001
2019-02-01,Johnson,89178.86000000002
2019-03-01,Johnson,82624.91000000006
2019-04-01,Johnson,107169.20999999995
2019-05-01,Johnson,102063.92000000007
2019-06-01,Johnson,99047.88000000009
2019-07-01,Johnson,100760.05000000005
2019-08-01,Johnson,107443.59999999998
2019-09-01,Johnson,100010.60000000006
2019-10-01,Johnson,128008.54
2019-11-01,Johnson,98875.09999999998
2019-12-01,Johnson,108683.83000000005
2020-01-01,Johnson,76565.95999999999
2020-02-01,Johnson,91092.21000000004
2020-03-01,Johnson,110226.23999999992
2020-04-01,Johnson,96937.04000000004
2020-05-01,Johnson,101156.56999999998
2020-06-01,Johnson,123370.11999999997
2020-07-01,Johnson,105009.60999999997
2020-08-01,Johnson,115794.27000000005
2020-09-01,Johnson,133311.68000000002
2020-10-01,Johnson,120523.45000000006
2020-11-01,Johnson,90309.82999999999
2020-12-01,Johnson,126848.36000000003
2021-01-01,Johnson,80110.21999999996
2021-02-01,Johnson,98323.42999999996
2021-03-01,Johnson,133385.9
2021-04-01,Johnson,104410.72999999992
2021-05-01,Johnson,101793.24999999997
2021-06-01,Johnson,133111.38000000003
2021-07-01,Johnson,104081.29999999999
2021-08-01,Johnson,125435.37000000001
2021-09-01,Johnson,117118.87999999996
2021-10-01,Johnson,126873.98000000001
2021-11-01,Johnson,120981.96999999999
2021-12-01,Johnson,115324.17000000004
2022-01-01,Johnson,83762.56
2022-02-01,Johnson,102926.06000000003
2022-03-01,Johnson,87635.18
2022-04-01,Johnson,108228.29
2022-05-01,Johnson,116099.41000000006
2022-06-01,Johnson,109680.53
2022-07-01,Johnson,85272.34000000003
2022-08-01,Johnson,142598.48
2022-09-01,Johnson,114072.37000000005
2022-10-01,Johnson,124089.42999999998
2022-11-01,Johnson,117083.79000000011
2022-12-01,Johnson,109658.61000000002
2023-01-01,Johnson,103153.93999999996
2023-02-01,Johnson,97923.45000000004
2023-03-01,Johnson,102505.41
2023-04-01,Johnson,116236.79000000004
2023-05-01,Johnson,117432.10999999997
2023-06-01,Johnson,115011.43999999999
2023-07-01,Johnson,104567.30999999997
2023-08-01,Johnson,125381.28000000001
2023-09-01,Johnson,101193.11000000002
2023-10-01,Johnson,125430.59000000001
2023-11-01,Johnson,110095.11000000012
2023-12-01,Johnson,109144.81
2018-01-01,Linn,135373.16
2018-02-01,Linn,146369.71
2018-03-01,Linn,136585.53000000003
2018-04-01,Linn,163064.23000000004
2018-05-01,Linn,196764.96000000002
2018-06-01,Linn,156933.11000000004
2018-07-01,Linn,160115.9599999999
2018-08-01,Linn,169909.60000000003
2018-09-01,Linn,140746.50999999995
2018-10-01,Linn,204342.82000000004
2018-11-01,Linn,166653.96000000008
2018-12-01,Linn,169614.88000000003
2019-01-01,Linn,136332.23
2019-02-01,Linn,149876.85
2019-03-01,Linn,132032.39
2019-04-01,Linn,172435.3200000002
2019-05-01,Linn,185027.20999999996
2019-06-01,Linn,158409.02
2019-07-01,Linn,156077.29000000004
2019-08-01,Linn,183075.50000000003
2019-09-01,Linn,146546.82
2019-10-01,Linn,184939.53999999995
2019-11-01,Linn,161016.53
2019-12-01,Linn,177610.32000000004
2020-01-01,Linn,142927.83
2020-02-01,Linn,143957.2099999999
2020-03-01,Linn,180908.49
2020-04-01,Linn,184670.06999999995
2020-05-01,Linn,177302.43000000005
2020-06-01,Linn,190720.59999999998
2020-07-01,Linn,192525.78000000012
2020-08-01,Linn,162233.60000000003
2020-09-01,Linn,162592.43
2020-10-01,Linn,201059.41000000015
2020-11-01,Linn,163786.41999999995
2020-12-01,Linn,193734.47000000003
2021-01-01,Linn,165919.60000000003
2021-02-01,Linn,148219.34999999995
2021-03-01,Linn,182148.71999999994
2021-04-01,Linn,176032.7799999999
2021-05-01,Linn,181055.46999999997
2021-06-01,Linn,193034.30999999997
2021-07-01,Linn,181008.69999999998
2021-08-01,Linn,178253.42
2021-09-01,Linn,173516.83
2021-10-01,Linn,179857.18999999994
2021-11-01,Linn,187587.29999999993
2021-12-01,Linn,202059.4700000001
2022-01-01,Linn,139070.45
2022-02-01,Linn,144329.00999999992
2022-03-01,Linn,146927.98000000004
2022-04-01,Linn,177521.19
2022-05-01,Linn,186087.93000000005
2022-06-01,Linn,173509.70000000004
2022-07-01,Linn,159006.0400000001
2022-08-01,Linn,183963.45000000007
2022-09-01,Linn,177346.68000000002
2022-10-01,Linn,182086.51000000015
2022-11-01,Linn,161550.91999999987
2022-12-01,Linn,181050.87000000008
2023-01-01,Linn,155855.9200000001
2023-02-01,Linn,151532.05
2023-03-01,Linn,173248.94000000003
2023-04-01,Linn,161957.84000000003
2023-05-01,Linn,189517.89000000004
2023-06-01,Linn,193411.86
2023-07-01,Linn,150869.65000000005
2023-08-01,Linn,187935.7000000001
2023-09-01,Linn,149851.33999999994
2023-10-01,Linn,176439.74000000014
2023-11-01,Linn,157024.26000000004
2023-12-01,Linn,172637.48000000007
2018-01-01,Polk,298855.15000000014
2018-02-01,Polk,334946.6499999999
2018-03-01,Polk,378124.0600000001
2018-04-01,Polk,398323.96000000014
2018-05-01,Polk,435169.87000000017
2018-06-01,Polk,415689.5099999997
2018-07-01,Polk,378960.0299999999
2018-08-01,Polk,407878.5599999999
2018-09-01,Polk,351208.25
2018-10-01,Polk,449326.99000000005
2018-11-01,Polk,400470.44000000006
2018-12-01,Polk,450272.0499999998
2019-01-01,Polk,328830.97000000003
2019-02-01,Polk,347871.2099999998
2019-03-01,Polk,363386.14
2019-04-01,Polk,411624.49000000005
2019-05-01,Polk,463214.1600000001
2019-06-01,Polk,408127.6799999998
2019-07-01,Polk,420824.03000000014
2019-08-01,Polk,401445.9099999999
2019-09-01,Polk,400605.27999999997
2019-10-01,Polk,465419.0599999998
2019-11-01,Polk,362631.5000000002
2019-12-01,Polk,437218.87000000017
2020-01-01,Polk,335597.95999999996
2020-02-01,Polk,345945.37999999995
2020-03-01,Polk,409281.66999999975
2020-04-01,Polk,421989.5300000002
2020-05-01,Polk,385151.36000000004
2020-06-01,Polk,440467.25000000006
2020-07-01,Polk,437856.51
2020-08-01,Polk,418927.05000000005
2020-09-01,Polk,452382.26
2020-10-01,Polk,478106.73999999993
2020-11-01,Polk,366593.73999999993
2020-12-01,Polk,468616.18000000017
2021-01-01,Polk,337739.3099999999
2021-02-01,Polk,362001.29000000015
2021-03-01,Polk,442606.9699999999
2021-04-01,Polk,470331.35000000015
2021-05-01,Polk,408189.75999999983
2021-06-01,Polk,457893.9099999998
2021-07-01,Polk,447766.8200000002
2021-08-01,Polk,452748.9400000003
2021-09-01,Polk,451721.2100000001
2021-10-01,Polk,471698.5100000002
2021-11-01,Polk,403819.16999999987
2021-12-01,Polk,498501.58
2022-01-01,Polk,338370.05
2022-02-01,Polk,353678.54999999976
2022-03-01,Polk,377710.27000000037
2022-04-01,Polk,438980.74000000005
2022-05-01,Polk,436278.1100000001
2022-06-01,Polk,453139.5000000002
2022-07-01,Polk,394917.14000000025
2022-08-01,Polk,477692.90000000026
2022-09-01,Polk,422286.1799999998
2022-10-01,Polk,504755.4100000003
2022-11-01,Polk,412604.01
2022-12-01,Polk,480919.8000000003
2023-01-01,Polk,372819.81
2023-02-01,Polk,386428.3500000001
2023-03-01,Polk,445443.2799999999
2023-04-01,Polk,399640.6899999998
2023-05-01,Polk,469186.75999999995
2023-06-01,Polk,477467.25
2023-07-01,Polk,422793.88999999966
2023-08-01,Polk,444549.49000000034
2023-09-01,Polk,403372.1799999998
2023-10-01,Polk,472557.77
2023-11-01,Polk,450433.3799999998
2023-12-01,Polk,418267.4499999999
2018-01-01,Pottawattamie,48652.90000000001
2018-02-01,Pottawattamie,56481.95999999999
2018-03-01,Pottawattamie,59633.76999999998
2018-04-01,Pottawattamie,68716.79999999996
2018-05-01,Pottawattamie,58261.03000000002
2018-06-01,Pottawattamie,74997.50999999998
2018-07-01,Pottawattamie,57116.88999999996
2018-08-01,Pottawattamie,75357.20000000003
2018-09-01,Pottawattamie,49676.34999999999
2018-10-01,Pottawattamie,68025.87
2018-11-01,Pottawattamie,68439.1
2018-12-01,Pottawattamie,79045.46000000002
2019-01-01,Pottawattamie,47762.509999999995
2019-02-01,Pottawattamie,61591.65
2019-03-01,Pottawattamie,60782.67000000002
2019-04-01,Pottawattamie,66043.04
2019-05-01,Pottawattamie,83627.20999999998
2019-06-01,Pottawattamie,69615.35999999997
2019-07-01,Pottawattamie,74281.43000000004
2019-08-01,Pottawattamie,60770.05999999998
2019-09-01,Pottawattamie,57267.970000000016
2019-10-01,Pottawattamie,68268.23999999996
2019-11-01,Pottawattamie,65465.83
2019-12-01,Pottawattamie,64923.75
2020-01-01,Pottawattamie,63612.35999999998
2020-02-01,Pottawattamie,59150.09999999999
2020-03-01,Pottawattamie,68971.35999999997
2020-04-01,Pottawattamie,71443.04999999999
2020-05-01,Pottawattamie,71047.23999999998
2020-06-01,Pottawattamie,64940.40999999998
2020-07-01,Pottawattamie,81567.16999999998
2020-08-01,Pottawattamie,66714.47999999998
2020-09-01,Pottawattamie,87152.31999999996
2020-10-01,Pottawattamie,67758.98000000001
2020-11-01,Pottawattamie,62359.90999999998
2020-12-01,Pottawattamie,84412.03
2021-01-01,Pottawattamie,62364.82999999998
2021-02-01,Pottawattamie,63479.969999999994
2021-03-01,Pottawattamie,80248.17000000003
2021-04-01,Pottawattamie,71269.49999999999
2021-05-01,Pottawattamie,71760.46
2021-06-01,Pottawattamie,69997.80999999998
2021-07-01,Pottawattamie,84165.93999999999
2021-08-01,Pottawattamie,69406.71000000002
2021-09-01,Pottawattamie,73135.47999999998
2021-10-01,Pottawattamie,74135.81
2021-11-01,Pottawattamie,66018.99999999999
2021-12-01,Pottawattamie,94977.92999999998
2022-01-01,Pottawattamie,49950.83999999998
2022-02-01,Pottawattamie,61804.69000000002
2022-03-01,Pottawattamie,69916.58999999998
2022-04-01,Pottawattamie,73929.07000000002
2022-05-01,Pottawattamie,68421.66999999997
2022-06-01,Pottawattamie,79399.37999999998
2022-07-01,Pottawattamie,61650.02999999995
2022-08-01,Pottawattamie,73048.84999999998
2022-09-01,Pottawattamie,68332.99999999996
2022-10-01,Pottawattamie,74495.29
2022-11-01,Pottawattamie,65982.59999999998
2022-12-01,Pottawattamie,79182.20000000004
2023-01-01,Pottawattamie,59293.68999999997
2023-02-01,Pottawattamie,60760.85999999997
2023-03-01,Pottawattamie,77157.56999999996
2023-04-01,Pottawattamie,67190.92
2023-05-01,Pottawattamie,64154.71999999998
2023-06-01,Pottawattamie,83732.16000000003
2023-07-01,Pottawattamie,60225.68999999996
2023-08-01,Pottawattamie,75226.26999999999
2023-09-01,Pottawattamie,69719.35
2023-10-01,Pottawattamie,61406.38
2023-11-01,Pottawattamie,69672.63999999998
2023-12-01,Pottawattamie,69968.62000000004
2018-01-01,Scott,96773.09000000005
2018-02-01,Scott,97982.58000000003
2018-03-01,Scott,112739.03000000003
2018-04-01,Scott,117765.6399999999
2018-05-01,Scott,140061.95000000004
2018-06-01,Scott,125330.92
2018-07-01,Scott,109304.55999999998
2018-08-01,Scott,130564.15999999993
2018-09-01,Scott,96924.72999999998
2018-10-01,Scott,177869.45000000013
2018-11-01,Scott,126215.27999999998
2018-12-01,Scott,158802.02000000002
2019-01-01,Scott,106496.63
2019-02-01,Scott,112521.09000000001
2019-03-01,Scott,111409.41000000003
2019-04-01,Scott,135484.58
2019-05-01,Scott,139459.62000000008
2019-06-01,Scott,144208.43
2019-07-01,Scott,151479.88000000012
2019-08-01,Scott,112372.81999999993
2019-09-01,Scott,122537.31999999993
2019-10-01,Scott,137228.8200000001
2019-11-01,Scott,135647.36000000004
2019-12-01,Scott,133098.99999999994
2020-01-01,Scott,108479.01
2020-02-01,Scott,109000.98999999998
2020-03-01,Scott,147296.09000000005
2020-04-01,Scott,125529.59000000005
2020-05-01,Scott,139343.16999999995
2020-06-01,Scott,172325.07000000004
2020-07-01,Scott,145271.62000000002
2020-08-01,Scott,153331.7400000001
2020-09-01,Scott,165008.57
2020-10-01,Scott,143599.33000000005
2020-11-01,Scott,141437.81000000003
2020-12-01,Scott,167291.44999999998
2021-01-01,Scott,121127.49999999999
2021-02-01,Scott,112893.85999999999
2021-03-01,Scott,163191.08000000005
2021-04-01,Scott,127184.07999999997
2021-05-01,Scott,129388.35999999999
2021-06-01,Scott,175846.19000000003
2021-07-01,Scott,128434.02000000005
2021-08-01,Scott,155360.93000000002
2021-09-01,Scott,138051.53000000003
2021-10-01,Scott,133703.90999999997
2021-11-01,Scott,155422.21000000005
2021-12-01,Scott,150210.5100000001
2022-01-01,Scott,101298.11000000002
2022-02-01,Scott,111976.56999999999
2022-03-01,Scott,105018.41999999998
2022-04-01,Scott,133749.45000000004
2022-05-01,Scott,126325.65000000013
2022-06-01,Scott,138995.22
2022-07-01,Scott,96961.76
2022-08-01,Scott,146569.75999999998
2022-09-01,Scott,107659.72000000003
2022-10-01,Scott,140438.88000000003
2022-11-01,Scott,130877.52
2022-12-01,Scott,134605.8800000001
2023-01-01,Scott,112236.99999999991
2023-02-01,Scott,109673.36000000003
2023-03-01,Scott,119032.80999999998
2023-04-01,Scott,107584.12000000005
2023-05-01,Scott,146715.31999999992
2023-06-01,Scott,131619.24000000005
2023-07-01,Scott,108608.3300000001
2023-08-01,Scott,142807.7400000001
2023-09-01,Scott,106780.96000000006
2023-10-01,Scott,137478.57999999996
2023-11-01,Scott,130407.35999999997
2023-12-01,Scott,128198.01000000005
2018-01-01,Story,55611.67
2018-02-01,Story,52609.47999999998
2018-03-01,Story,44923.60999999999
2018-04-01,Story,60546.869999999966
2018-05-01,Story,59480.739999999976
2018-06-01,Story,47180.259999999995
2018-07-01,Story,42545.18
2018-08-01,Story,69728.18
2018-09-01,Story,59125.87999999999
2018-10-01,Story,71422.47999999997
2018-11-01,Story,54432.39999999997
2018-12-01,Story,53135.629999999954
2019-01-01,Story,51946.65999999998
2019-02-01,Story,54873.609999999986
2019-03-01,Story,48743.31
2019-04-01,Story,62777.22999999998
2019-05-01,Story,62522.64999999996
2019-06-01,Story,48382.33000000001
2019-07-01,Story,51512.549999999974
2019-08-01,Story,53393.319999999985
2019-09-01,Story,59241.53
2019-10-01,Story,67273.59
2019-11-01,Story,55049.19999999999
2019-12-01,Story,56048.079999999994
2020-01-01,Story,53699.48000000002
2020-02-01,Story,58069.34999999998
2020-03-01,Story,57265.76999999999
2020-04-01,Story,67243.03000000001
2020-05-01,Story,58825.14000000002
2020-06-01,Story,51062.499999999985
2020-07-01,Story,58840.1
2020-08-01,Story,71299.55
2020-09-01,Story,75336.30999999995
2020-10-01,Story,72017.33999999998
2020-11-01,Story,63884.53999999998
2020-12-01,Story,73593.39
2021-01-01,Story,53681.59
2021-02-01,Story,64455.24000000004
2021-03-01,Story,69324.92000000001
2021-04-01,Story,69302.68999999997
2021-05-01,Story,57443.92999999998
2021-06-01,Story,56424.839999999975
2021-07-01,Story,58645.17000000002
2021-08-01,Story,65011.04000000001
2021-09-01,Story,86853.65
2021-10-01,Story,62255.59
2021-11-01,Story,68931.49999999997
2021-12-01,Story,71980.59000000007
2022-01-01,Story,48455.67999999999
2022-02-01,Story,62673.129999999954
2022-03-01,Story,57811.899999999994
2022-04-01,Story,65237.04999999997
2022-05-01,Story,59907.34999999998
2022-06-01,Story,59940.88999999998
2022-07-01,Story,39725.439999999966
2022-08-01,Story,74862.50999999995
2022-09-01,Story,64775.98999999999
2022-10-01,Story,69189.43000000001
2022-11-01,Story,59678.919999999984
2022-12-01,Story,57269.74000000002
2023-01-01,Story,43230.85999999999
2023-02-01,Story,51976.77999999999
2023-03-01,Story,67167.54999999999
2023-04-01,Story,55164.02999999998
2023-05-01,Story,65909.91999999998
2023-06-01,Story,48123.14
2023-07-01,Story,40294.14000000003
2023-08-01,Story,72402.87999999998
2023-09-01,Story,54102.59
2023-10-01,Story,54442.11999999999
2023-11-01,Story,65523.679999999964
2023-12-01,Story,50062.88999999996
2018-01-01,Woodbury,55381.339999999975
2018-02-01,Woodbury,50471.039999999986
2018-03-01,Woodbury,50839.74999999998
2018-04-01,Woodbury,56939.51000000002
2018-05-01,Woodbury,75225.79
2018-06-01,Woodbury,61958.92000000001
2018-07-01,Woodbury,54908.69999999998
2018-08-01,Woodbury,69509.93999999996
2018-09-01,Woodbury,55015.77999999999
2018-10-01,Woodbury,74345.49000000003
2018-11-01,Woodbury,59694.79999999996
2018-12-01,Woodbury,66692.13
2019-01-01,Woodbury,56710.81999999999
2019-02-01,Woodbury,54839.04999999999
2019-03-01,Woodbury,55060.45999999999
2019-04-01,Woodbury,77129.42
2019-05-01,Woodbury,77279.61999999997
2019-06-01,Woodbury,57500.339999999975
2019-07-01,Woodbury,84901.58000000003
2019-08-01,Woodbury,48280.799999999974
2019-09-01,Woodbury,52152.79999999999
2019-10-01,Woodbury,66074.47999999995
2019-11-01,Woodbury,63520.76
2019-12-01,Woodbury,79209.47999999998
2020-01-01,Woodbury,44147.11999999998
2020-02-01,Woodbury,57556.45999999999
2020-03-01,Woodbury,72953.49999999996
2020-04-01,Woodbury,67851.34000000003
2020-05-01,Woodbury,57017.97999999994
2020-06-01,Woodbury,77059.45999999996
2020-07-01,Woodbury,62988.62999999999
2020-08-01,Woodbury,64777.54000000002
2020-09-01,Woodbury,90922.33999999997
2020-10-01,Woodbury,57392.65999999999
2020-11-01,Woodbury,60711.46999999999
2020-12-01,Woodbury,82392.18000000004
2021-01-01,Woodbury,60855.610000000015
2021-02-01,Woodbury,55850.05999999999
2021-03-01,Woodbury,68113.61999999994
2021-04-01,Woodbury,71653.73000000003
2021-05-01,Woodbury,61726.29
2021-06-01,Woodbury,73270.65999999999
2021-07-01,Woodbury,75964.61000000002
2021-08-01,Woodbury,74346.43000000002
2021-09-01,Woodbury,68167.12999999999
2021-10-01,Woodbury,62616.44999999996
2021-11-01,Woodbury,76863.57
2021-12-01,Woodbury,83201.06000000004
2022-01-01,Woodbury,52288.4
2022-02-01,Woodbury,52292.39999999998
2022-03-01,Woodbury,64117.19999999999
2022-04-01,Woodbury,69451.31
2022-05-01,Woodbury,63302.40000000002
2022-06-01,Woodbury,75003.12999999999
2022-07-01,Woodbury,53944.29000000002
2022-08-01,Woodbury,70879.60999999999
2022-09-01,Woodbury,71488.46999999996
2022-10-01,Woodbury,69227.03999999998
2022-11-01,Woodbury,66578.65000000002
2022-12-01,Woodbury,71350.3
2023-01-01,Woodbury,61062.88
